	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)
VARIABLES	logyield	logyield	hpsfcs	/	hpsfcs	/	hpsfcs	/	hpshdds	/	hpshdds	/	hpshdds	/	hps_rcsi	/	hps_rcsi	/	hps_rcsi	/	forwardcultiv	forwardcultiv
																						
camIV	-0.104**				-0.0410***						-0.0691***						0.749***				0.0301	
	(0.0442)				(0.00894)						(0.00865)						(0.0223)				(0.0426)	
qseed	0.00417***	0.00416***																				
	(0.00139)	(0.00127)																				
fert	2.97e-06***	4.51e-06***																				
	(9.48e-07)	(1.10e-06)																				
cultivown_land_w	-0.184***	-0.184***																				
	(0.0215)	(0.0216)																				
rainfall	0.00557***	0.00542***	0.000416***		0.000287**		6.64e-05						0.000699***		-0.00635***		-0.00551***		-0.00635***		0.000937	0.00104
	(0.000811)	(0.000824)	(0.000130)		(0.000135)		(0.000150)						(0.000149)		(0.000328)		(0.000309)		(0.000328)		(0.000803)	(0.000829)
sqrainfall	-2.36e-06***	-2.25e-06***	-1.04e-07*		-4.92e-08		5.49e-08						-1.34e-07*		3.00e-06***		2.54e-06***		3.00e-06***		-3.68e-07	-4.09e-07
	(3.82e-07)	(3.87e-07)	(6.23e-08)		(6.50e-08)		(7.25e-08)						(7.14e-08)		(1.61e-07)		(1.52e-07)		(1.61e-07)		(3.44e-07)	(3.59e-07)
temperature	0.563**	0.604**	0.0943**		0.130***		0.113***						0.194***		0.485***		0.323***		0.485***		0.370*	0.354*
	(0.269)	(0.261)	(0.0421)		(0.0435)		(0.0434)						(0.0421)		(0.0996)		(0.0948)		(0.0996)		(0.222)	(0.214)
sqtemp	-0.00897**	-0.00960**	-0.00120*		-0.00177***		-0.00167***						-0.00290***		-0.00820***		-0.00563***		-0.00820***		-0.00457	-0.00435
	(0.00396)	(0.00382)	(0.000626)		(0.000647)		(0.000647)						(0.000629)		(0.00149)		(0.00142)		(0.00149)		(0.00312)	(0.00301)
army_aff		-0.323**	-0.00169				-0.0709***		-0.0179***				-0.122***		0.345***				0.345***			0.0833
		(0.140)	(0.00608)				(0.0150)		(0.00596)				(0.0147)		(0.0156)				(0.0156)			(0.115)
sigma_u				0.175***		0.176***		0.176***		0.153***		0.157***		0.157***		0		0		0		
				(0.00814)		(0.00834)		(0.00833)		(0.00831)		(0.00829)		(0.00840)		(0.0275)		(0.0330)		(0.0275)		
sigma_e				0.291***		0.288***		0.287***		0.290***		0.282***		0.284***		0.803***		0.722***		0.803***		
				(0.00439)		(0.00455)		(0.00454)		(0.00442)		(0.00449)		(0.00452)		(0.0129)		(0.0119)		(0.0129)		
vhat							0.0892***						0.131***									
							(0.0170)						(0.0166)									
ihs_rainfall									2.269***		1.761***											
									(0.619)		(0.636)											
lsqrainfall									-0.124***		-0.0907**											
									(0.0419)		(0.0431)											
ihs_temperature									16.57***		22.65***											
									(5.917)		(6.079)											
lsqtemp									-1.896***		-2.633***											
									(0.706)		(0.725)											
Constant	-4.843		2.550***		2.088***		2.684***		-43.55***		-54.08***		-1.050		-3.249**		-1.381		-3.249**		-7.029*	
	(4.602)		(0.692)		(0.714)		(0.718)		(11.80)		(12.12)		(0.694)		(1.620)		(1.540)		(1.620)		(3.951)	
																						
Observations	2,530	2,530	2,980	2,980	2,767	2,767	2,767	2,767	2,980	2,980	2,767	2,767	2,767	2,767	2,980	2,980	2,767	2,767	2,980	2,980	2,039	2,039
R-squared	0.595	0.141																			0.713	-0.008
Number of HHID			745	745	743	743	743	743	745	745	743	743	743	743	745	745	743	743	745	745		
Robust standard errors in parentheses																						
*** p<0.01, ** p<0.05, * p<0.1																						
